"<p>Marge is a mod. I will write up more when i get home. I&#8217;m on my phone at the moment.</p>
",True
"<p>Marge??</p>
",True
"<p>Night has fallen</p>
",True
"<p>I agree. ##vote Jeff.</p>
",True
"<p>@everyone obligatory post saying that I am not mafia or cult. Evidence in my favour:</p>
<p>1. The death of Ernest which I claimed without prompting and has not been counterclaimed. </p>
<p>2. My early suspicion of Cynthia on about day 7/8 (which Victoria noticed)</p>
<p>3. My agreement with the plan to not lung yesterday rather than jumping in and trying to kill an innocent townie (like Heidi did)</p>
<p>4. The fact that Cynthia and other cult members kept trying to have me lynched so they could reach cult majority. As I have pointed out on each occasion they have then abandoned their votes for me to another non-cult. (this is why I am suspicious of jeff)</p>
",True
"<p>Also, may not be online tonight, but Im suspecting an early lynch regardless.</p>
",True
"<p>I like your list Madeline and am happy to follow it.<br />
My one suggestion would be if you could jail the next person on the list. If there is a mafia about and they were next on the list, they would know they are about to die so would use their kill before its too late. Jailing them will prevent this.</p>
<p>IE. We kill Jeff today, and Clarence is next, if he were mafia he wouldn&#8217;t get a chance to use it. if there were a kill in the night, we would know not to kill Clarence since he was jailed.<br />
The following night, you would jail Victoria. Victoria would then not be able to use her night ability if she is mafia, so if she wants to use it before she dies, she would need to use it tonight, or not at all.</p>
<p>upon rereading what I wrote&#8230; it sounds confusing. But have a think about it Madeline. if you knew you were next on the list you would do all you can no matter what, so we want to stop that..</p>
<p>The order will most likely change as the days go on anyways. But tbh, stalling to use night abilities has become rather boring</p>
<p>## Vote Jeff</p>
",True
"<p>Yeah. I don&#8217;t want to wait till the last minuteto have a repeat if the uncertainty. I&#8217;m fairly confident that Jeff is cult and am willing to look suspicious and vote for him. I think my play over the lady three days has proven I&#8217;m a townie anyway.</p>
<p>## vote jeff</p>
",True
"<p>I&#8217;m all for just lynching Jeff unless he has some amazing defence.</p>
<p>I noticed yesterday despite stating that I would not be available for the last hour of the day and believing we were all ok with the No Lynch plan I wind up getting targeted (again) for lynching despite still having my kill of Ernest in my favour.</p>
<p>The plan for checking people out is great and all but look at it from my perspective, I have no way to be sure that anyone is telling the truth.</p>
<p>So I&#8217;m going to put in my vote for Jeff because he consistently voted with cult for the last few rounds, which is bloody suspicious to me. If he turns out not cult I am going to be suspicious of these &#8220;visit people in the night&#8221; people because they could well be the remains of cult trying to cover for each other.</p>
<p>## Vote Jeff</p>
",True
"<p>I agree. I&#8217;m not sure, but I&#8217;m leaning towards lynching someone today, if only to move the game forward. What do people think?</p>
",True
"<p>Hmmm wht does this mean?<br />
Victoria said she &#8216;went&#8217; to visit Madeline. But didn&#8217;t specify if she was successful. </p>
<p>Peter got the same result for targeting a jailed person both times. Not that he couldn&#8217;t find them. But that they didn&#8217;t do anything. </p>
<p>I&#8217;d say Peter and Madeline are telling the truth. I assume Victoria is too. But isn&#8217;t confirmed.</p>
",True
